number,per_device_train_batch_size,learning_rate,num_train_epochs,weight_decay,best_f1
1,8,0.00002925192529,7,0.03257539431,0.9174
2,8,0.00002906604069,3,0.002645466446,0.9206
3,8,0.00004972536275,3,0.02870937921,0.9213
4,8,0.000011067832,3,0.03312472704,0.9246
5,16,0.00001876501119,1,0.05677077818,0.9098
6,8,0.00001986234937,2,0.00100616063,0.9229
7,8,0.00003386813701,1,0.04554825295,0.9076
8,8,0.00001408497667,1,0.01427177129,0.903
9,8,0.00001342945242,3,0.05599510605,0.9233
10,16,0.0000100125941,1,0.08849984044,0.899
11,8,0.00001021050565,2,0.06877557137,0.9221
12,8,0.00001340016043,3,0.06893024566,0.9235
13,8,0.00001407378096,3,0.07988286892,0.9238
14,16,0.00001619239108,1,0.09977932104,0.9123
15,8,0.0000119556003,1,0.0785012159,0.905
16,8,0.00001608840634,3,0.0243068867,0.9249
17,8,0.0000228929474,2,0.02205179486,0.9257
18,16,0.00001680522595,1,0.03573712424,0.9071
19,8,0.00002316867506,1,0.01740042827,0.9057
20,8,0.0000115454964,3,0.01020695524,0.9247
21,8,0.00001201132103,3,0.01138936719,0.9241
22,8,0.00001181998289,3,0.02773709291,0.9244
23,8,0.00001575676924,1,0.007638366859,0.9125
24,8,0.00001099711998,1,0.02263783948,0.913
25,8,0.00001867864804,1,0.03630084136,0.9132
26,16,0.00001519610073,1,0.02039043679,0.9122
27,8,0.00001235828888,3,0.008943689458,0.9241
28,8,0.00001104175699,1,0.04194986572,0.9023
29,16,0.00001771975936,1,0.05198529388,0.9091
30,8,0.0000149220598,3,0.02588607064,0.9245
31,8,0.00002105886609,2,0.02846008545,0.9256
32,8,0.00001309950992,2,0.04080678987,0.9271
33,8,0.00001474427073,1,0.02505536512,0.9133
34,8,0.00002509192292,1,0.03470500138,0.9118
35,8,0.00001105580325,1,0.005607887039,0.9135
36,8,0.00004789268813,1,0.01598501277,0.9113
37,8,0.00001269822096,1,0.02972027777,0.9009
38,16,0.00001700960802,1,0.001202603013,0.9069
39,8,0.00001466496203,3,0.04654427581,0.9242
40,8,0.00003060896006,1,0.01467189588,0.9068
41,8,0.00001120430742,2,0.02653170047,0.9261
42,8,0.00001180980891,3,0.03219265991,0.9247
43,8,0.00001007942398,1,0.03250725928,0.911
44,8,0.00001378485327,2,0.03845789465,0.9268
45,8,0.00001267548936,1,0.01972114699,0.9009
46,8,0.00001056207463,1,0.04665904957,0.912
47,8,0.00001167313727,3,0.01203970111,0.9244
